snapshot,sample,arm,reference,metric,level,paired_delta,positive,n
原快照,全样本,SB1_BUY1,SB1,滚动5年年化P25,0.352141,0.0030514999999999987,8,14
原快照,全样本,SB1_BUY1,SB1,滚动5年年化最差,0.1207795,0.005719999999999999,7,14
原快照,全样本,SB1_BUY1,SB1,滚动5年回撤中位,0.46236900000000003,0.009288500000000005,8,14
原快照,全样本,SB1_BUY1,SB1,滚动5年Calmar中位,1.0337015,0.007270500000000013,8,14
原快照,全样本,SB1_BUY1,SB1,滚动5年Sharpe中位,0.972369,-0.038571999999999995,6,14
原快照,全样本,SB1_BUY1,SB1,滚动5年为负的窗口占比,0.0,0.0,0,14
原快照,全样本,SB1_BUY1,SB1,滚动5年窗口数,102.0,0.0,0,14
原快照,全样本,SB1_BUY1,SB1,互不重叠5年块中位,0.551743,-0.024692500000000006,5,14
原快照,全样本,SB1_BUY1,SB1,滚动10年年化中位,0.400817,-0.003198499999999993,7,14
原快照,全样本,SB1_BUY1,SB1,滚动10年窗口数,42.0,0.0,0,14
原快照,全样本,SB1_BUY1,SB1,逐年收益中位,0.3135595,-0.076085,2,14
原快照,全样本,SB1_BUY1,SB1,逐年为正比例,0.769231,0.0,1,14
原快照,全样本,SB1_BUY1,SB1,逐年最差,-0.218704,0.005913500000000016,10,14
原快照,全样本,SB1_BUY1,SB1,完整自然年数,12.5,0.0,0,14
原快照,全样本,BUY2,BASE,年化,0.43856850000000003,0.020289,9,14
原快照,全样本,BUY2,BASE,最大回撤,0.6903385,-0.010468500000000047,5,14
原快照,全样本,BUY2,BASE,Sharpe,0.8345275,0.042395499999999975,9,14
原快照,全样本,BUY2,BASE,Calmar,0.6007925000000001,0.04180349999999999,9,14
原快照,全样本,BUY2,BASE,平均仓位,1.6444085,-0.006684999999999941,2,14
原快照,全样本,BUY2,BASE,年均换手,7.5012945,0.6111879999999998,12,14
原快照,全样本,BUY2,BASE,持仓数中位,6.0,-1.0,0,14
原快照,全样本,BUY2,BASE,单票权重中位,0.6535015,0.0035385,8,14
原快照,全样本,BUY2,BASE,单票权重P90,0.9210195,0.003925000000000067,8,14
原快照,全样本,BUY2,BASE,单票权重最大,1.0899255,-0.010741999999999918,6,14
原快照,全样本,BUY2,BASE,前三权重中位,1.485187,0.023831000000000047,12,14
原快照,全样本,BUY2,BASE,单票超60%天数占比,0.8142050000000001,0.040110000000000035,12,14
原快照,全样本,BUY2,BASE,滚动3年年化中位,0.471572,0.027001499999999984,9,14
原快照,全样本,BUY2,BASE,滚动3年回撤中位,0.44350599999999996,0.010172000000000014,9,14
原快照,全样本,BUY2,BASE,滚动3年Calmar中位,1.123565,0.041050000000000086,11,14
原快照,全样本,BUY2,BASE,滚动3年Sharpe中位,0.9410115,0.04621849999999994,9,14
原快照,全样本,BUY2,BASE,滚动3年为负的窗口占比,0.021735499999999998,0.0,4,14
原快照,全样本,BUY2,BASE,滚动5年年化中位,0.5226885,0.0216055,10,14
原快照,全样本,BUY2,BASE,滚动5年年化P25,0.3530765,0.015065500000000037,8,14
原快照,全样本,BUY2,BASE,滚动5年年化最差,0.0877945,0.015085500000000012,9,14
原快照,全样本,BUY2,BASE,滚动5年回撤中位,0.454132,0.0035239999999999994,8,14
原快照,全样本,BUY2,BASE,滚动5年Calmar中位,1.139653,0.09514899999999993,12,14
原快照,全样本,BUY2,BASE,滚动5年Sharpe中位,0.9764135,0.021561000000000052,8,14
原快照,全样本,BUY2,BASE,滚动5年为负的窗口占比,0.0,0.0,1,14
原快照,全样本,BUY2,BASE,滚动5年窗口数,102.0,0.0,0,14
原快照,全样本,BUY2,BASE,互不重叠5年块中位,0.606662,0.04395600000000005,10,14
原快照,全样本,BUY2,BASE,滚动10年年化中位,0.4022515,0.02602400000000002,8,14
原快照,全样本,BUY2,BASE,滚动10年窗口数,42.0,0.0,0,14
原快照,全样本,BUY2,BASE,逐年收益中位,0.404829,-0.007664499999999991,5,14
原快照,全样本,BUY2,BASE,逐年为正比例,0.7774725,0.0,1,14
原快照,全样本,BUY2,BASE,逐年最差,-0.278413,-0.002544499999999991,6,14
原快照,全样本,BUY2,BASE,完整自然年数,12.5,0.0,0,14
原快照,全样本,BUY2,SB1,年化,0.43856850000000003,0.021122500000000016,9,14
原快照,全样本,BUY2,SB1,最大回撤,0.6903385,-0.01363350000000002,3,14
原快照,全样本,BUY2,SB1,Sharpe,0.8345275,0.038284499999999944,9,14
