date,net_equity,cash,positions,cash_ratio,debt,margin_ratio,top1_weight,top3_weight
2025-01-06,276072923.88,0.00,7,0.0000,185323878.12,2.4897,0.7034,1.4989
2025-01-07,277347200.09,0.00,7,0.0000,185341648.91,2.4964,0.6891,1.4955
2025-01-08,274835851.61,0.00,7,0.0000,185359421.39,2.4827,0.6940,1.5003
2025-01-09,270931821.42,0.00,7,0.0000,185377195.58,2.4615,0.6924,1.5083
2025-01-10,263658271.10,0.00,7,0.0000,184714931.90,2.4274,0.7111,1.5210
2025-01-13,272584786.93,0.00,7,0.0000,184768069.07,2.4753,0.6950,1.5022
2025-01-14,279842312.74,0.00,7,0.0000,186374624.26,2.5015,0.6816,1.4945
2025-01-15,283602870.64,-53.33,7,-0.0000,188879694.04,2.5015,0.6843,1.4868
2025-01-16,288511399.40,0.00,7,0.0000,192148552.60,2.5015,0.6850,1.4858
2025-01-17,290315426.83,0.00,7,0.0000,193350070.17,2.5015,0.6834,1.4895
2025-01-20,283746923.58,0.00,7,0.0000,193405691.42,2.4671,0.6830,1.5015
2025-01-21,274911052.27,0.00,6,0.0000,190908485.73,2.4400,0.6917,1.5183
2025-01-22,269698011.98,0.00,6,0.0000,190926792.02,2.4126,0.7021,1.5306
2025-01-23,266669153.89,0.00,6,0.0000,177659961.11,2.5010,0.7079,1.5355
2025-01-24,270243975.69,0.00,8,0.0000,179995705.31,2.5014,0.6613,1.5259
2025-01-27,274856685.37,0.00,8,0.0000,183054535.63,2.5015,0.6728,1.5268
2025-02-05,265652192.79,0.00,8,0.0000,183212514.21,2.4500,0.6706,1.5490
2025-02-06,265140769.47,0.00,8,0.0000,183230082.53,2.4470,0.6540,1.5523
2025-02-07,270781212.46,0.00,8,0.0000,183247652.54,2.4777,0.6517,1.5389
2025-02-10,271626793.26,49.75,8,0.0000,180923992.49,2.5013,0.6594,1.5586
2025-02-11,268801879.38,0.00,8,0.0000,180941291.62,2.4856,0.6515,1.5633
2025-02-12,282398306.86,0.00,8,0.0000,188077473.14,2.5015,0.6592,1.5629
2025-02-13,273146425.03,0.00,8,0.0000,188095507.97,2.4522,0.6660,1.5829
2025-02-14,273953083.48,0.00,8,0.0000,188113544.52,2.4563,0.6681,1.5803
2025-02-17,268529973.09,0.00,7,0.0000,188166619.91,2.4271,0.6695,1.5937
2025-02-18,265289851.72,0.00,7,0.0000,188184663.28,2.4097,0.6773,1.6026
2025-02-19,263819307.61,0.00,7,0.0000,188202708.39,2.4018,0.6812,1.6068
2025-02-20,261616620.78,0.00,7,0.0000,188220755.22,2.3899,0.6794,1.6123
2025-02-21,269696487.21,0.00,7,0.0000,188238803.79,2.4327,0.6654,1.5936
2025-02-24,265382113.32,0.00,7,0.0000,188292954.68,2.4094,0.6739,1.6033
2025-02-25,263582138.19,27.01,8,0.0000,175548345.82,2.5015,0.6800,1.6090
2025-02-26,268433318.66,0.00,8,0.0000,178776533.34,2.5015,0.6763,1.5983
2025-02-27,270769871.05,0.00,8,0.0000,180335133.95,2.5015,0.6788,1.5937
2025-02-28,265783914.64,0.00,8,0.0000,180352426.36,2.4737,0.6706,1.6062
2025-03-03,282090838.94,-277.21,8,-0.0000,187873045.85,2.5015,0.6650,1.5707
2025-03-04,274909956.71,-277.21,8,-0.0000,187891061.08,2.4631,0.6638,1.5862
2025-03-05,278465963.76,-277.21,8,-0.0000,187909078.03,2.4819,0.6480,1.5779
2025-03-06,282326103.07,0.00,7,0.0000,188028948.93,2.5015,0.6477,1.5683
2025-03-07,288043614.97,-242.78,7,-0.0000,191837325.24,2.5015,0.6320,1.5534
2025-03-10,288746827.00,0.00,9,0.0000,192301401.00,2.5015,0.6297,1.5508
2025-03-11,286277205.09,0.00,8,0.0000,191911798.91,2.4917,0.6295,1.5567
2025-03-12,281913007.58,0.00,8,0.0000,191930201.42,2.4688,0.6336,1.5661
2025-03-13,282050170.32,0.00,8,0.0000,191948605.68,2.4694,0.6277,1.5637
2025-03-14,283364618.29,0.00,8,0.0000,191967011.71,2.4761,0.6329,1.5625
2025-03-17,286636127.90,0.00,8,0.0000,192022235.10,2.4927,0.6312,1.5562
2025-03-18,284346963.81,0.00,8,0.0000,192040648.19,2.4807,0.6344,1.5617
2025-03-19,284552433.95,0.00,8,0.0000,192059063.05,2.4816,0.6262,1.5625
2025-03-20,282649427.33,0.00,8,0.0000,192077479.67,2.4715,0.6257,1.5663
2025-03-21,277088295.94,0.00,8,0.0000,192095898.06,2.4424,0.6324,1.5794
2025-03-24,280103879.48,0.00,8,0.0000,192151158.52,2.4577,0.6406,1.5713
2025-03-25,279266762.03,0.00,8,0.0000,192169583.97,2.4532,0.6448,1.5734
2025-03-26,275769533.01,-557.23,9,-0.0000,183634957.76,2.5017,0.6447,1.5327
2025-03-27,273474307.18,-557.23,9,-0.0000,183652566.59,2.4891,0.6478,1.5373
2025-03-28,271929350.48,-251.27,8,-0.0000,181107237.25,2.5015,0.6467,1.5418
2025-03-31,271539009.85,60.95,7,0.0000,180846637.10,2.5015,0.6493,1.5427
2025-04-01,272123382.85,0.00,7,0.0000,181233623.15,2.5015,0.6526,1.5411
2025-04-02,272181773.06,0.00,7,0.0000,181272649.94,2.5015,0.6515,1.5417
2025-04-03,266929815.76,0.00,7,0.0000,181290032.24,2.4724,0.6595,1.5538
2025-04-07,229161833.07,24432233.28,12,0.1066,149688851.21,2.5309,0.6931,1.0928
2025-04-08,233519384.49,-96.58,11,-0.0000,155531620.92,2.5014,0.7010,1.2010
2025-04-09,231423447.50,-96.58,11,-0.0000,155546534.91,2.4878,0.6982,1.2056
2025-04-10,239111570.67,0.00,11,0.0000,159248070.33,2.5015,0.6960,1.2145
2025-04-11,238522850.06,-827.12,10,-0.0000,158861696.82,2.5014,0.6886,1.2520
2025-04-14,240157277.15,0.00,10,0.0000,159944487.85,2.5015,0.6919,1.2507
2025-04-15,240557841.38,0.00,10,0.0000,160210992.62,2.5015,0.6869,1.2463
2025-04-16,240417796.68,0.00,10,0.0000,160226355.32,2.5005,0.6824,1.2436
2025-04-17,239450772.51,0.00,10,0.0000,160241719.49,2.4943,0.6870,1.2449
2025-04-18,242861331.59,0.00,10,0.0000,161745601.41,2.5015,0.6819,1.2468
2025-04-21,242048919.03,0.00,10,0.0000,161792130.97,2.4960,0.6850,1.2514
2025-04-22,241514822.72,0.00,10,0.0000,161807645.28,2.4926,0.6868,1.2520
2025-04-23,245047737.37,0.00,10,0.0000,163201541.63,2.5015,0.6923,1.2562
2025-04-24,248046988.39,0.00,10,0.0000,165287521.61,2.5007,0.6891,1.2537
2025-04-25,249298202.70,0.00,10,0.0000,166032571.30,2.5015,0.6926,1.2570
2025-04-28,246501662.91,0.00,10,0.0000,166080334.09,2.4842,0.6871,1.2553
2025-04-29,241303564.40,0.00,10,0.0000,166096259.60,2.4528,0.6837,1.2623
2025-04-30,236457938.36,0.00,10,0.0000,166112186.64,2.4235,0.6911,1.2743
2025-05-06,237879585.96,0.00,10,0.0000,166207758.04,2.4312,0.6870,1.2757
2025-05-07,235835095.23,0.00,10,0.0000,166223695.77,2.4188,0.6929,1.2732
2025-05-08,237110994.97,0.00,10,0.0000,166239635.03,2.4263,0.6892,1.2666
2025-05-09,238904970.19,0.00,10,0.0000,166255575.81,2.4370,0.6840,1.2573
2025-05-12,240759222.24,0.00,10,0.0000,166303402.76,2.4477,0.6787,1.2548
2025-05-13,242983585.34,0.00,10,0.0000,166319349.66,2.4609,0.6725,1.2475
2025-05-14,245023293.91,0.00,10,0.0000,166335298.09,2.4731,0.6669,1.2422
2025-05-15,242390329.95,0.00,10,0.0000,166091748.05,2.4594,0.6742,1.2451
2025-05-16,240356490.34,0.00,10,0.0000,166107674.66,2.4470,0.6799,1.2512
2025-05-19,247688985.94,0.00,10,0.0000,166155459.06,2.4907,0.6893,1.2438
2025-05-20,243178613.23,0.00,10,0.0000,166171391.77,2.4634,0.6829,1.2469
2025-05-21,253076595.30,0.00,10,0.0000,168548938.70,2.5015,0.6775,1.2323
2025-05-22,257810524.10,0.00,10,0.0000,171701512.90,2.5015,0.6740,1.2225
2025-05-23,252846778.57,0.00,10,0.0000,171717977.43,2.4725,0.6742,1.2300
2025-05-26,253204555.25,0.00,10,0.0000,171767375.75,2.4741,0.6859,1.2348
2025-05-27,253459859.41,0.00,10,0.0000,171783846.59,2.4755,0.6881,1.2339
2025-05-28,257608153.98,0.00,10,0.0000,171800319.02,2.4995,0.6823,1.2300
2025-05-29,263169648.12,0.00,10,0.0000,175271119.88,2.5015,0.6863,1.2261
2025-05-30,263908106.18,0.00,10,0.0000,175762492.82,2.5015,0.6865,1.2216
2025-06-03,263262044.43,0.00,10,0.0000,175829908.57,2.4973,0.6725,1.2126
2025-06-04,265265502.94,0.00,10,0.0000,176666535.06,2.5015,0.6709,1.2083
2025-06-05,262112075.32,0.00,10,0.0000,176683475.68,2.4835,0.6769,1.2153
2025-06-06,266180124.82,0.00,10,0.0000,177275991.18,2.5015,0.6769,1.2108
2025-06-09,268864949.59,0.00,10,0.0000,179063819.41,2.5015,0.6725,1.2063
2025-06-10,269453715.17,0.00,11,0.0000,179421205.83,2.5018,0.6775,1.2062
2025-06-11,268571565.40,0.00,11,0.0000,179438410.60,2.4967,0.6742,1.2048
2025-06-12,268418480.98,0.00,11,0.0000,179455617.02,2.4957,0.6688,1.2066
2025-06-13,262633107.90,0.00,11,0.0000,179472825.10,2.4634,0.6700,1.2155
2025-06-16,261017647.02,120.23,12,0.0000,173843592.21,2.5015,0.6653,1.1752
2025-06-17,262936006.11,0.00,12,0.0000,175115353.89,2.5015,0.6657,1.1729
2025-06-18,264073567.97,0.00,12,0.0000,175872438.03,2.5015,0.6615,1.1695
2025-06-19,263209157.49,0.00,12,0.0000,175889302.51,2.4964,0.6668,1.1693
2025-06-20,266771251.60,-180.86,12,-0.0000,177669878.54,2.5015,0.6644,1.1580
2025-06-23,272188463.90,-7.61,12,-0.0000,181277777.49,2.5015,0.6579,1.1449
2025-06-24,275414413.87,0.00,12,0.0000,183426144.13,2.5015,0.6502,1.1456
2025-06-25,277293954.79,0.00,12,0.0000,184677378.21,2.5015,0.6448,1.1513
2025-06-26,278596772.01,0.00,12,0.0000,185545120.99,2.5015,0.6470,1.1514
2025-06-27,276082678.51,0.00,12,0.0000,185302530.49,2.4899,0.6566,1.1645
2025-06-30,274847180.69,93.68,12,0.0000,183054642.99,2.5014,0.6588,1.2093
2025-07-01,275270332.62,-1492.37,11,-0.0000,183353797.00,2.5013,0.6525,1.2508
2025-07-02,283492734.21,0.00,11,0.0000,188806493.79,2.5015,0.6572,1.2601
2025-07-03,282267207.24,0.00,10,0.0000,188702978.76,2.4958,0.6500,1.2625
2025-07-04,281686740.73,-2.15,10,-0.0000,187610047.11,2.5014,0.6519,1.2527
2025-07-07,280037881.43,669.69,10,0.0000,186511861.25,2.5014,0.6519,1.2464
2025-07-08,284536245.57,0.00,10,0.0000,189507764.43,2.5014,0.6409,1.2421
2025-07-09,283279952.72,581.74,10,0.0000,188671177.02,2.5014,0.6395,1.2357
2025-07-10,284503516.05,0.00,11,0.0000,189570335.95,2.5008,0.6127,1.2097
2025-07-11,286617045.90,0.00,11,0.0000,190893675.10,2.5014,0.6216,1.2585
2025-07-14,291133198.61,0.00,11,0.0000,193925140.39,2.5013,0.6081,1.3025
2025-07-15,288810017.74,439.28,11,0.0000,192354282.54,2.5014,0.6153,1.3189
2025-07-16,281550891.66,-22.25,10,-0.0000,187547721.08,2.5012,0.6249,1.3491
