signal_date,exec_date,source_code,close,ma,ma_prev,weak_run,cross_count,hold_pv,trigger_code,trigger_pv,block_reason,next_source,shares_held
2025-07-21,2025-07-22,002807,4.8300,4.9095,4.9075,0,0,0.9141,688516,0.5255,均线未下行,,200
2025-07-22,2025-07-23,002807,4.8100,4.9040,4.9145,0,0,0.9103,688516,0.5335,均线未下行,601229,200
2025-07-23,2025-07-24,002807,4.8200,4.8990,4.9165,0,0,0.9122,688516,0.5312,均线未下行,601229,200
2025-07-29,2025-07-30,601658,5.6100,5.6510,5.6340,0,0,0.7947,000792,0.6360,均线未下行,601818,100
2025-08-01,2025-08-04,601658,5.6600,5.6735,5.6385,0,0,0.8146,000792,0.6148,均线未下行,601229,200
2025-08-27,2025-08-28,601658,6.0000,6.0195,5.8765,0,0,0.8636,000792,0.6633,均线未下行,,300
2025-08-28,2025-08-29,601658,6.0000,6.0325,5.9080,0,0,0.8636,600970,0.6319,均线未下行,,300
2025-08-29,2025-09-01,601658,6.0400,6.0515,5.9390,0,0,0.9012,600970,0.6333,均线未下行,,300
2025-09-16,2025-09-17,601658,6.1700,6.1955,6.1560,0,0,0.9206,600938,0.7176,均线未下行,,400
2025-09-18,2025-09-19,601658,6.0700,6.1905,6.1745,0,0,0.9057,600938,0.7084,均线未下行,,400
2025-11-24,2025-11-25,002128,26.1100,26.5575,26.1220,0,0,0.8568,600970,0.6302,均线未下行,002466,1839600
2025-12-04,2025-12-05,002128,26.7400,26.8785,26.7445,0,0,0.8775,000651,0.6813,均线未下行,002466,1839600
2025-12-16,2025-12-17,002839,4.6000,4.6570,4.6475,0,0,0.9375,000651,0.6798,均线未下行,002128,100
2025-12-17,2025-12-18,002839,4.5700,4.6565,4.6470,0,0,0.9314,000651,0.6840,均线未下行,,100
2025-12-18,2025-12-19,002839,4.6500,4.6575,4.6520,0,0,0.9477,000651,0.6816,均线未下行,,100
2025-12-19,2025-12-22,002839,4.6600,4.6650,4.6535,0,0,0.9497,000651,0.6846,均线未下行,,100
2025-12-22,2025-12-23,002839,4.5900,4.6675,4.6565,0,0,0.9355,000651,0.6803,均线未下行,,100
2025-12-29,2025-12-30,002839,4.6100,4.6680,4.6675,0,0,0.9395,601818,0.7300,均线未下行,,100
2026-03-17,2026-03-18,000792,36.1500,36.6990,35.4150,0,0,1.1337,601229,0.7898,均线未下行,,688200
2026-03-25,2026-03-26,600938,40.5800,41.0300,39.5095,0,0,1.1168,601229,0.7710,均线未下行,000933,86500
2026-03-26,2026-03-27,600938,40.9300,41.3030,39.8800,0,0,1.9086,601229,0.7710,均线未下行,000933,86500
2026-03-27,2026-03-30,600938,41.0700,41.5630,40.1985,0,0,1.9152,002966,0.8188,均线未下行,000933,86500
2026-03-30,2026-03-31,600938,41.1000,41.6450,40.5840,0,0,1.9166,600036,0.7393,均线未下行,000933,86500
2026-04-17,2026-04-20,002648,27.3900,27.6180,27.1170,0,0,0.9630,600036,0.7483,均线未下行,,1017400
2026-04-23,2026-04-24,002648,27.3800,27.8035,27.5710,0,0,0.9626,601229,0.7846,均线未下行,,339300
2026-04-24,2026-04-27,000933,32.8400,32.9460,32.1075,0,0,1.1221,601009,0.8469,均线未下行,,857700
2026-04-29,2026-04-30,000933,33.0500,33.1600,32.6085,0,0,1.1292,002807,0.8033,均线未下行,,295900
2026-05-06,2026-05-07,000933,32.6900,33.2695,32.9460,0,0,1.1169,601009,0.8130,均线未下行,,22400
